Magic1     Magic2     ID     MetaOffset Rel.Offset DataOffset W    H    Size       Format
----------------------------------------------------------------------
0xc0c26179 0x301600a  0      0x38cf0  0xf660   0x48368  240  320  92409      COMPRESSED
0x0        0x301640a  180    0x39dd0  0x5a7d7  0x945bf  36   21   635        COMPRESSED
0x0        0x301640a  181    0x39de8  0x5aa52  0x94852  36   21   635        COMPRESSED
0x0        0x301640a  182    0x39e00  0x5accd  0x94ae5  4    2    36         RAW
0x0        0x301640a  183    0x39e18  0x5acf1  0x94b21  183  22   1244       COMPRESSED
0x0        0x301640a  184    0x39e30  0x5b1cd  0x95015  100  18   858        COMPRESSED
0x0        0x301640a  185    0x39e48  0x5b527  0x95387  100  18   942        COMPRESSED
0x0        0x301640a  186    0x39e60  0x5b8d5  0x9574d  100  18   1026       COMPRESSED
0x0        0x301640a  187    0x39e78  0x5bcd7  0x95b67  100  18   900        COMPRESSED
0x0        0x301640a  188    0x39e90  0x5c05b  0x95f03  68   22   803        COMPRESSED
0x0        0x301640a  189    0x39ea8  0x5c37e  0x9623e  68   22   908        COMPRESSED
0x0        0x301640a  190    0x39ec0  0x5c70a  0x965e2  100  18   858        COMPRESSED
0x0        0x301640a  191    0x39ed8  0x5ca64  0x96954  100  18   942        COMPRESSED
0x0        0x301640a  192    0x39ef0  0x5ce12  0x96d1a  100  18   1026       COMPRESSED
0x0        0x301640a  193    0x39f08  0x5d214  0x97134  100  18   900        COMPRESSED
0x0        0x301640a  194    0x39f20  0x5d598  0x974d0  68   22   803        COMPRESSED
0x0        0x301640a  195    0x39f38  0x5d8bb  0x9780b  68   22   908        COMPRESSED
0x0        0x301640a  196    0x39f50  0x5dc47  0x97baf  100  18   858        COMPRESSED
0x0        0x301640a  197    0x39f68  0x5dfa1  0x97f21  100  18   858        COMPRESSED
0x0        0x301640a  198    0x39f80  0x5e2fb  0x98293  143  30   1911       COMPRESSED
0x0        0x301640a  199    0x39f98  0x5ea72  0x98a22  183  22   1328       COMPRESSED
0x0        0x301640a  200    0x39fb0  0x5efa2  0x98f6a  87   31   1617       COMPRESSED
0x0        0x301640a  201    0x39fc8  0x5f5f3  0x995d3  143  30   1953       COMPRESSED
0x0        0x301640a  202    0x39fe0  0x5fd94  0x99d8c  183  22   1412       COMPRESSED
0x0        0x301640a  203    0x39ff8  0x60318  0x9a328  185  30   1722       COMPRESSED
0x0        0x301640a  204    0x3a010  0x609d2  0x9a9fa  143  30   2037       COMPRESSED
0x0        0x301640a  205    0x3a028  0x611c7  0x9b207  143  30   2037       COMPRESSED
0x0        0x301640a  206    0x3a040  0x619bc  0x9ba14  143  30   1974       COMPRESSED
0x0        0x301640a  207    0x3a058  0x62172  0x9c1e2  87   31   1743       COMPRESSED
0x0        0x301640a  208    0x3a070  0x62841  0x9c8c9  183  22   1769       COMPRESSED
0x0        0x301640a  209    0x3a088  0x62f2a  0x9cfca  183  22   1433       COMPRESSED
0x0        0x301640a  210    0x3a0a0  0x634c3  0x9d57b  143  30   1890       COMPRESSED
0x0        0x301640a  211    0x3a0b8  0x63c25  0x9dcf5  143  30   1974       COMPRESSED
0x0        0x301640a  212    0x3a0d0  0x643db  0x9e4c3  143  30   1764       COMPRESSED
